timestamp,temperature,humidity,wind_speed,pressure,solar_irradiance
1682620200000,31.69,38.48,1.72,100.29,5.8246
1682706600000,29.18,46.81,1.11,100.29,3.0401
1682793000000,29.62,46.04,2.09,100.1,6.2383
1682879400000,29.75,43.18,2.46,100.08,6.2873
1682965800000,30.55,46.23,1.96,100.18,6.0526
1683052200000,32.02,42.55,1.27,100.27,6.6218
1683138600000,33.38,35.66,1.27,100.21,6.9101
1683225000000,33.23,38.45,2.1,100.11,6.9581
1683311400000,34.81,34.3,2.5,100.06,5.6294
1683397800000,34.9,33.4,2.32,100.07,7.1431
1683484200000,35.04,28.33,3.13,100.01,7.5948
1683570600000,34.98,26.96,2.41,100.08,7.711
1683657000000,35.01,19.79,2.16,100.06,7.9716
1683743400000,35.69,16.23,2.17,100.05,7.8034
1683829800000,35.81,18.73,2.15,100.05,7.921
1683916200000,35.97,24.21,2.85,100.04,7.7849
1684002600000,35.63,35.11,3.86,99.93,7.6894
1684089000000,34.87,38.84,4.08,99.99,7.1354
1684175400000,34.53,41.86,3.8,100.16,7.1076
1684261800000,34.31,44.9,3.74,100.28,7.7782
1684348200000,34.51,40.55,3.34,100.42,7.6795
1684434600000,35.38,38.44,2.34,100.26,7.5542
1684521000000,35.62,35.13,2.77,100.16,7.2864
1684607400000,35.34,33.17,3.4,100.23,7.385
1684693800000,34.51,38.7,3.29,100.31,7.7285
1684780200000,34.92,39.03,3.69,100.3,7.9519
1684866600000,34.11,48.14,4.75,100.19,7.5955
1684953000000,34.22,47.21,5.27,100.15,6.8923
1685039400000,34.2,48.14,5.6,100.16,6.1783
1685125800000,34.07,48.97,5.14,100.09,6.9319
1685212200000,32.97,54.82,2.96,100.11,5.7005
1685298600000,31.5,56.48,2.04,100.25,6.8537
1685385000000,33.28,42.23,2.46,100.27,6.8762
1685471400000,33.34,38.66,3.77,100.19,7.255
1685557800000,33.26,43.49,3.63,100.11,7.3286
1685644200000,32.57,55.17,3.64,100.12,6.2474
1685730600000,32.24,58.87,2.26,100.07,6.6276
1685817000000,32.26,53.07,1.73,100.11,6.5232
1685903400000,32.59,53.9,2.43,100.01,7.463
1685989800000,33.3,48.5,2.47,99.96,7.2475
1686076200000,33.6,48.58,2.82,99.93,7.3879
1686162600000,34.4,45.39,2.83,99.98,7.435
1686249000000,34.46,42.16,3.35,99.83,7.7918
1686335400000,32.75,57.13,4.04,99.72,7.8046
1686421800000,33.15,58.07,4.41,99.67,7.4806
1686508200000,32.35,59.07,5.19,99.65,7.519
1686594600000,33.08,56.57,6.79,99.65,6.6029
1686681000000,32.73,57.21,6.73,99.73,6.2345
1686767400000,31.84,63.14,7.11,99.71,4.841
1686853800000,30.7,69.62,8.31,99.46,2.3398
1686940200000,29.76,75.45,7.89,99.54,2.443
1687026600000,31.62,66.39,5.81,99.76,4.3351
1687113000000,32.08,60.77,4.39,99.75,4.3752
1687199400000,32.7,59.7,3.56,99.74,6.2722
1687285800000,32.89,56.1,3.59,99.78,6.3002
1687372200000,32.77,55.75,3.4,99.78,5.9808
1687458600000,30.69,62.53,2.7,99.82,5.0645
1687545000000,30.54,62.32,2.57,99.71,4.0968
1687631400000,31.09,60.47,2.62,99.62,3.7118
1687717800000,29.09,72.11,3.12,99.74,3.703
1687804200000,29.41,72.14,2.46,99.66,3.9151
1687890600000,28.93,77.86,2.57,99.73,4.5934
1687977000000,28.35,82.94,2.49,99.68,2.9998
1688063400000,29.09,82.83,3.28,99.6,5.347
1688149800000,28.31,88.64,3.29,99.75,4.3447
1688236200000,29.85,79.08,2.58,99.78,6.1042
1688322600000,30.65,76.26,1.9,99.67,5.9695
1688409000000,31.03,78.16,1.68,99.42,5.6095
1688495400000,29.56,84.09,2.51,99.29,5.4038
1688581800000,29.46,85.12,1.34,99.44,4.6507
1688668200000,29.21,85.35,1.83,99.5,3.3878
1688754600000,28.49,89.23,3.25,99.49,3.7608
1688841000000,27.6,90.86,3.89,99.62,3.1447
1688927400000,27.96,89.1,3.77,99.75,1.2953
1689013800000,28.86,83.83,3.17,99.85,4.7273
1689100200000,29.1,82.91,3.05,99.77,4.296
1689186600000,29.38,81.51,2.74,99.76,5.3782
1689273000000,28.6,83.48,2.38,99.85,4.7666
1689359400000,28.01,86.97,2.78,99.89,5.0378
1689445800000,28.94,82.04,2.71,99.8,5.5603
1689532200000,29.02,81.98,2.53,99.7,4.919
1689618600000,28.89,84.13,3.23,99.55,4.3159
1689705000000,28.07,89.09,3.24,99.39,3.8647
1689791400000,28.97,87.46,2.15,99.37,4.8907
1689877800000,29.39,86.87,1.05,99.53,3.8978
1689964200000,28.32,91.52,3.1,99.58,3.8179
1690050600000,28.23,90.2,2.29,99.45,4.2451
1690137000000,28.65,85.88,2.87,99.51,4.1225
1690223400000,28.73,84.97,3.22,99.73,4.7506
1690309800000,28.41,85.76,2.77,99.9,5.4876
1690396200000,28.6,85.92,3.46,99.89,4.0963
1690482600000,27.61,88.64,4.04,99.87,4.5185
1690569000000,27.86,86.58,3.95,99.85,3.5117
1690655400000,27.92,86.24,3.93,99.76,4.1846
1690741800000,28.28,85.51,4.15,99.66,3.6324
1690828200000,27.96,86.44,4.41,99.68,2.6659
1690914600000,27.94,85.01,4.27,99.74,2.5565
1691001000000,27.34,86.25,3.62,99.71,3.0264
1691087400000,27.43,87.54,3.29,99.81,3.3631
1691173800000,27.08,88.15,2.84,100.03,3.4649
1691260200000,27.48,85.1,3.96,99.9,3.9317
1691346600000,27.5,83.02,4.52,99.73,2.8541
1691433000000,27.61,83.72,4.12,99.8,3.1637
1691519400000,27.88,83.75,3.52,100.07,2.8466
1691605800000,27.92,83.32,3.23,100.15,3.1536
1691692200000,27.66,83.56,2.83,100.16,3.4418
1691778600000,27.22,83.71,3.43,100.09,3.0912
1691865000000,27.39,82.68,4.01,99.88,3.145
1691951400000,27.02,83.61,3.55,99.98,3.5074
1692037800000,26.96,85.07,2.65,100.09,3.6034
1692124200000,27.4,83.18,2.5,100.19,3.623
1692210600000,27.12,82.58,3.13,100.18,3.2378
1692297000000,27.09,82.71,3.08,100.07,4.957
1692383400000,27.07,82.89,2.59,99.95,4.2926
1692469800000,25.96,88.92,3.29,99.93,2.3734
1692556200000,27.02,85.33,2.86,99.95,3.174
1692642600000,27.15,84.64,2.68,99.97,3.2318
1692729000000,27.53,83.04,3.37,99.9,4.0572
1692815400000,27.71,80.38,3.79,99.77,3.929
1692901800000,27.96,81.73,3.12,99.78,4.529
1692988200000,28.04,81.87,3.01,99.94,4.9745
1693074600000,27.48,80.71,3.35,100.07,4.2257
1693161000000,27.46,80.49,3.38,100.04,4.1986
1693247400000,27.61,80.29,2.29,100.12,4.2463
1693333800000,27.84,79.04,2.04,100.28,4.9771
1693420200000,28.27,78.06,1.68,100.3,5.7149
1693506600000,28.36,74.88,1.29,100.3,6.3696
1693593000000,28.17,75.94,1.35,100.23,6.4639
1693679400000,28.27,76.67,1.92,100.1,5.6292
1693765800000,28.12,72.0,1.94,100.0,6.6446
1693852200000,28.47,71.89,1.97,99.98,6.4536
1693938600000,29.34,74.72,2.96,99.88,6.234
1694025000000,29.8,75.96,2.85,99.78,5.2248
1694111400000,29.75,75.42,3.23,99.81,4.909
1694197800000,28.96,76.25,3.34,99.83,5.4734
1694284200000,28.99,75.98,3.01,99.78,4.9306
1694370600000,28.39,76.51,3.15,99.89,6.013
1694457000000,28.38,75.8,2.46,100.0,5.4749
1694543400000,28.66,74.39,2.17,99.94,4.3231
1694629800000,28.17,76.06,1.67,100.02,4.2905
1694716200000,26.49,84.98,2.4,100.03,3.437
1694802600000,26.68,84.79,3.6,99.88,2.9827
1694889000000,26.61,90.71,4.74,99.62,1.5194
1694975400000,26.13,93.2,3.73,99.62,1.1352
1695061800000,26.62,91.24,3.92,99.83,2.1593
1695148200000,27.44,87.53,2.56,100.02,4.2869
1695234600000,27.85,87.25,1.91,100.09,5.6069
1695321000000,28.26,85.46,1.82,100.15,5.4062
1695407400000,28.44,85.75,1.88,100.17,4.6142
1695493800000,28.31,86.58,1.68,100.15,4.7573
1695580200000,28.34,82.88,1.53,100.15,4.9126
1695666600000,28.38,81.39,1.05,100.19,5.1533
1695753000000,28.05,82.55,1.5,100.19,5.0998
1695839400000,29.23,79.5,0.97,100.12,4.5449
1695925800000,29.02,78.1,0.9,100.13,5.61
1696012200000,28.97,78.19,1.24,100.11,6.0737
1696098600000,28.29,72.79,1.69,100.05,6.2741
1696185000000,27.59,64.16,1.02,100.18,6.2484
1696271400000,26.58,64.31,1.53,100.4,6.395
1696357800000,25.73,72.99,1.61,100.49,6.3845
1696444200000,25.65,72.51,1.37,100.46,6.4615
1696530600000,25.77,75.49,1.45,100.38,6.3156
1696617000000,25.92,78.56,1.14,100.47,6.1831
1696703400000,26.24,76.98,1.13,100.56,6.2532
1696789800000,26.51,73.83,1.38,100.65,6.1145
1696876200000,25.53,77.19,1.35,100.68,6.0739
1696962600000,26.29,75.8,0.91,100.68,6.0643
1697049000000,26.72,72.65,0.81,100.73,6.0818
1697135400000,27.65,68.43,0.76,100.78,5.7341
1697221800000,28.18,71.41,0.73,100.74,5.2589
1697308200000,27.55,69.95,1.49,100.61,5.1881
1697394600000,27.11,69.69,1.08,100.63,5.497
1697481000000,26.28,70.84,1.12,100.76,5.3633
1697567400000,26.59,68.08,1.13,100.89,5.5591
1697653800000,26.57,63.63,1.17,100.84,5.5742
1697740200000,26.67,63.23,1.52,100.85,5.4211
1697826600000,27.07,63.77,1.51,100.89,5.1437
1697913000000,27.33,60.32,1.09,100.91,5.2495
1697999400000,26.91,55.63,1.46,100.82,5.0155
1698085800000,26.98,54.37,1.22,100.76,5.3628
1698172200000,26.77,52.43,1.42,100.91,5.3782
1698258600000,27.72,45.29,0.83,100.92,5.3542
1698345000000,28.23,40.79,0.74,100.78,5.5946
1698431400000,26.51,50.11,1.2,100.77,4.8434
1698517800000,27.19,50.97,1.35,100.76,5.2346
1698604200000,26.36,53.91,1.69,100.72,5.1067
1698690600000,25.33,62.2,2.26,100.82,4.8067
1698777000000,26.26,58.89,1.52,100.88,4.8977
1698863400000,26.69,54.25,1.31,100.82,4.8778
1698949800000,27.5,45.6,0.87,100.65,4.7035
1699036200000,27.24,44.58,1.22,100.62,4.4102
1699122600000,26.22,47.97,1.52,100.75,4.4323
1699209000000,25.56,51.23,1.7,100.87,3.8921
1699295400000,25.52,49.61,1.6,100.87,4.4213
1699381800000,25.81,49.74,1.53,100.78,4.4976
1699468200000,26.36,48.86,1.14,100.81,4.1162
1699554600000,26.56,49.27,1.0,100.92,4.3555
1699641000000,25.53,44.98,1.75,101.1,5.1578
1699727400000,23.1,40.05,2.11,101.16,5.2214
1699813800000,22.97,43.94,1.79,101.06,4.2554
1699900200000,23.35,46.45,1.89,100.96,4.3176
1699986600000,22.69,47.19,2.06,100.95,4.4566
1700073000000,22.81,48.08,1.96,100.99,4.1724
1700159400000,21.99,50.77,2.05,101.01,3.9168
1700245800000,22.16,51.71,1.82,100.9,3.895
1700332200000,23.46,53.6,1.54,100.87,3.8729
1700418600000,24.86,56.72,1.57,100.91,3.6449
1700505000000,24.92,53.49,1.85,100.94,3.7018
1700591400000,23.6,47.17,1.26,100.85,4.0154
1700677800000,22.75,44.58,1.33,100.68,4.4292
1700764200000,23.08,46.51,2.36,100.73,4.1635
1700850600000,23.96,50.5,2.7,100.84,3.6763
1700937000000,22.01,69.76,2.76,100.81,1.0956
